,Comment
119,"Xem đi xem lại mà cảm xúc như vỡ oà . 17/12/2019 
Một năm nữa sắp kết thúc , chút các bạn quên đi những chuyện buồn trong năm cũ và chuẩn bị đón năm mới thật là vui vẻ . Chúc cho đội tuyển U23 Việt Nam năm nay sẽ vẫn gặt hái được nhiều thành công như kì U23 châu Á 2 năm trước !!!!"
120,Thật sự mà nói U23 Việt Nam đã làm cho khoảng thời gian này của cuộc đời t thực sự có ý nghĩa và đã bao lần làm cho t biết rằng giọt nước mắt hạnh phúc rơi như thế nào! <3
121,02/22 tự hào về các a.các a đã làm nên kỳ tích giống như cha ông ta đã đánh bại pháp mỹ nguyên mông vậy.và cũng k quyên ông người mang lại sự hồi sinh cho người hâm mộ bóng đá việt nam 🇻🇳.với lòng kính trọng xin cảm ơn thầy Pak hang seo 1 lần nữa
122,cảm ơn bạn làm ra clip và u23 vn để mn thấy tinh thần dân tộc vn và ôn lại những kỉ niệm thất bại có chiến thằng có rất ý nghĩa
123,Nghe xong bài này cái thấy tâm trạng buồn và nặng nề kinh khủng. Nhưng lại cứ phải replay hoài cả ngày
124,xem đi xem lại vẫn thấy ĐTVN rất hay dưới bàn tay của huấn luyện viên Park Hang Seo.Quá tuyệt vời
125,"Nhớ BTD và các cầu thủ , nhớ cảm giác này quá ️️️️"
126,Má ơi đúng là 1 năm đầy kỉ niệm với bóng đá. H mới biết lứa cầu thủ đã có bn thăng trầm để r gặt hái bao nhiêu thành quả kì diệu. Hôm nay lại vô địch AFF Cup nữa. Tuyệt vời 1 năm hoàng kim bóng đá
127,thật sự đội tuyển đã quá xuất sắc. Mong các em sẽ còn phát triển hơn nữa
128,CẢM ƠN ÔNG RẤT NHIỀU HLV PARK HANG SEO VÀ CÁC CẦU THỦ TRẺ
129,"một hành trình cảm xúc, không thể nào quên được. Cảm ơn vì tất cả"
130,"Xem lại mà mình có cảm xúc khó tả lắm. Sao mấy a có thể làm được  ,dù ko vđ nhưng nhà mình lúc đó vẫn mất một cái chảo 2 nắp nồi hihi tuyệt vời U23 VN ơi 
Lúc này 2h32' 23/11/2019"
131,"Video truyền cảm hứng mạnh mẽ nhất cho thế hệ trẻ Việt nam 
️️️"
132,"xem trận chung kết ngày ấy tôi vẫn ko thể ko khóc...khóc ko phải vì các em chỉ giành á quân mà khóc vì hp ,vì thương các em vô bờ bến đã chiến đấu trong môi trường khắc nghiệt của thời tiết ở Thường Châu."
133,"Giữa mùa dịch corona này vẫn lôi mấy video này ra xem để nhớ lại khoảnh khắc này của đội tuyển VN, quá tuyệt vời"
134,"Xem lại những khoảnh khắc này để nhớ lại những gì Bùi Tiến Dũng và toàn đội đã làm cho Việt Nam 
Đừng vì một lỗi sai mà quay lưng lại với thủ môn của chúng ta"
135,"Đội u23 đã lấy đi nhiều nước mắt của nhm nhất mà tôi từng thấy, xem lại 1000 lần vẫn xúc động"
136,"Xem lại mà rớt nước mắt...mặc dù sg29 không chiến thắng được HCV...nhưng họ đã chiến thắng trong tim chúng ta, và giờ đây️ bóng đá VN đã vô địch sg30"
137,"hôm nay 4/12/2019 tôi coi lại clip này mà khóc đấy ( tôi con là con trai ) khóc vì vui sướng , vì tự hào , vì đoàn kết , vì bất ngờ , cho dù chỉ là lần cuối cũng mãn nguyện , cũng vui sướng , và không đòi hỏi gì nhiều , cảm ơn đội tuyển quốc gia VN cho cả toàn dân VN được 1 lần sung sướng 1 lần đoàn kết xem đá bóng tung hô vui vẻ"
138,"Hãy tự hào vì là người việt nam, một nước nhỏ bé nhưng rất hùng mạnh....."
139,"Mỗi lần xem cảm giác đều như lúc đầu vậy thật sự rất xúc động. Tôi chỉ mong MHM hãy luôn ủng hộ, yêu thương các cầu thủ dù thắng hay bại. Dũng ơi em luôn ủng hộ anh dù cả thế giới có quay lưng lại với anh. Hãy cố lên anh nhé!!!
14-12-2019"
140,"chúng ta quên mất rằng ai là người đã mời HLV Park về , đó chính là Bầu Đức cũng phải nên cảm ơn ông 
ấy nữa . !"
141,"Và hôm nay VN lần nưqx vt lên lịch sự bóng đá️️🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳
  Đây là thời kỳ một HLV tài giỏi như Bố PARK cộng vs lứa cầu thủ dứoi tay bố thì Chấu Á phải coi VN là 1 đối thủ đáng gờm đấy🇻🇳🇻🇳🇻🇳🇻🇳️️️️"
142,Vietnam national team is now very strong from Indonesia 🇮🇩️🇻🇳
143,"Thất bại là mẹ thành công ,Việt Nam cố lên !"
144,"Thật xúc động, cảm ơn nhưng tinh thần quả cảm, đem vinh danh cho nước nhà. Cảm ớn huấn luyện viên tài ba truyền cảm hứng cho những tài năng đất nước, thay đổi lịch sử bóng đá việt nam"
145,"Tôi thấy buồn cho bùi tiến dũng 
Tại sao họ lại nói là thằng THANH HOÁ. Được cơ chứ "
